구분,분류,부문,URL,작가명,작가 UUID
초청 작가,,,https://www.idus.com/v2/artist/d9bf9405-b53f-44c0-8f13-ac7cff9e90d1/product,소정원,d9bf9405-b53f-44c0-8f13-ac7cff9e90d1
초청 작가,,,https://www.idus.com/v2/artist/1f9d9e4c-ba32-4eaa-b62c-16663f35cbe8/product,솜솜당,1f9d9e4c-ba32-4eaa-b62c-16663f35cbe8
초청 작가,,,https://www.idus.com/v2/artist/e6c2712c-453d-4ecf-8d82-fe4b6167a8f5/product,시케,e6c2712c-453d-4ecf-8d82-fe4b6167a8f5
초청 작가,,,https://www.idus.com/v2/artist/a13ad97f-8917-469f-867b-d19c2d6dd5c1/product,아비엥또,a13ad97f-8917-469f-867b-d19c2d6dd5c1
초청 작가,,,https://www.idus.com/v2/artist/58510d38-ec10-4816-9e23-32040f9d525e/product,아트핑고,58510d38-ec10-4816-9e23-32040f9d525e
초청 작가,,,https://www.idus.com/v2/artist/9f894ea5-1c89-4760-b327-075069e01b5b/product,옐로우 페이퍼 커피,9f894ea5-1c89-4760-b327-075069e01b5b
초청 작가,,,https://www.idus.com/v2/artist/f8a5505d-ae5b-4cfb-906c-d38444751bef/product,오소리앤코,f8a5505d-ae5b-4cfb-906c-d38444751bef
초청 작가,,,https://www.idus.com/v2/artist/31e58688-1a1f-4ce5-bded-8a14e159d61f/product,자늘 JANEUL,31e58688-1a1f-4ce5-bded-8a14e159d61f
초청 작가,,,https://www.idus.com/v2/artist/e9074239-80a5-47b7-a4a9-c8baabbb9a8b/product,작벼리공방,e9074239-80a5-47b7-a4a9-c8baabbb9a8b
초청 작가,,,https://www.idus.com/v2/artist/66ef518b-28cc-4e86-9701-d927751f6a08/product,제주에서국화,66ef518b-28cc-4e86-9701-d927751f6a08
초청 작가,,,https://www.idus.com/v2/artist/8ab734bc-57a4-4b12-9124-91e837b8bb0f/product,주는행복 갤러리,8ab734bc-57a4-4b12-9124-91e837b8bb0f
초청 작가,,,https://www.idus.com/v2/artist/7d8ffd08-1827-4542-953b-80a87a659246/product,치타박스,7d8ffd08-1827-4542-953b-80a87a659246
초청 작가,,,https://www.idus.com/v2/artist/10d32afe-4968-4ffd-918a-3d0be31af083/product,캔루 canroo,10d32afe-4968-4ffd-918a-3d0be31af083
초청 작가,,,https://www.idus.com/v2/artist/b030dd90-3607-4491-b584-365b8b59ddef/product,컵 만드는 라모,b030dd90-3607-4491-b584-365b8b59ddef
초청 작가,,,https://www.idus.com/v2/artist/b5f55f6c-79a8-4ce4-9968-7fc1cd3f4e1d/product,코튼스티치(cotton stitch),b5f55f6c-79a8-4ce4-9968-7fc1cd3f4e1d
초청 작가,,,https://www.idus.com/v2/artist/15eb09bb-9858-47e3-80f6-aab7b1c12b88/product,키스텔라,15eb09bb-9858-47e3-80f6-aab7b1c12b88
초청 작가,,,https://www.idus.com/v2/artist/1ca411ae-6e12-4c73-8a16-d0aa9bbe38e2/product,파피미스트,1ca411ae-6e12-4c73-8a16-d0aa9bbe38e2
초청 작가,,,https://www.idus.com/v2/artist/42a01493-5c17-46ec-9051-2aa0c51eb434/product,팔공산얼큰이,42a01493-5c17-46ec-9051-2aa0c51eb434
초청 작가,,,https://www.idus.com/v2/artist/f9fc2c47-c77d-47b6-b61e-743c5350b22d/product,팔렛트엔 제이,f9fc2c47-c77d-47b6-b61e-743c5350b22d
초청 작가,,,https://www.idus.com/v2/artist/0692faf0-ebbf-4c0c-9b0f-31c3a9632f8c/product,한울,0692faf0-ebbf-4c0c-9b0f-31c3a9632f8c
초청 작가,,,https://www.idus.com/v2/artist/b987fcad-fa10-4f28-a90d-8553dbaab0ad/product,해달자개,b987fcad-fa10-4f28-a90d-8553dbaab0ad
초청 작가,,,https://www.idus.com/v2/artist/386ad834-f247-4dbe-b775-d34bb64d9377/product,핸드메이드 주얼스쿨 (주얼쌤),386ad834-f247-4dbe-b775-d34bb64d9377
초청 작가,,,https://www.idus.com/v2/artist/662a4024-9c27-424f-a0b7-b4224d9caf85/product,행복공작소,662a4024-9c27-424f-a0b7-b4224d9caf85
초청 작가,,,https://www.idus.com/v2/artist/cb3f503e-76e5-11e4-9f64-06fd000000c2/product,Auming_어밍,cb3f503e-76e5-11e4-9f64-06fd000000c2
